EOG09370DTG	h1tg000007l_1	197043	207413
EOG09370DTG	h1tg000023l_1	994523	1004893
EOG09370DV4	h2tg000049l_1	400638	412504
EOG09370DV4	h2tg000006l_1	390813	402912
EOG09370DX4	h2tg000008l_1	8188011	8198760
EOG09370DX4	h1tg000007l_1	3451569	3462321
EOG09370DX4	h1tg000051l_1	179673	190389
EOG09370DXT	h2tg000006l_1	2226821	2237070
EOG09370DXT	h2tg000053l_1	1408702	1418951
EOG093701EE	h2tg000009l_1	1909786	1923886
EOG093701EE	h1tg000009l_1	1367480	1381615
EOG093701EE	h2tg000018l_1	2090974	2105094
EOG09370E0Y	h1tg000007l_1	2449037	2460655
EOG09370E0Y	h2tg000008l_1	9184992	9196497
EOG09370E0Y	h2tg000012l_1	1200606	1212079
EOG09370E36	h2tg000006l_1	1182759	1192941
EOG09370E36	h2tg000049l_1	1263014	1273196
EOG09370E4U	h2tg000006l_1	632270	644003
EOG09370E4U	h2tg000049l_1	646951	658544
EOG09370E4W	h1tg000030l_1	1423246	1434257
EOG09370E4W	h2tg000008l_1	3067628	3078632
EOG09370E8S	h2tg000005l_1	1256091	1267183
EOG09370EHZ	h2tg000031l_1	1869886	1881455
EOG09370EL3	h2tg000049l_1	1188670	1199104
EOG09370EL3	h2tg000006l_1	1086543	1096832
EOG09370F3T	h1tg000007l_1	1453601	1463891
EOG09370F3T	h2tg000012l_1	2106695	2116976
EOG09370F3T	h2tg000008l_1	10111965	10122251
EOG09370F47	h2tg000024l_1	4752376	4763593
EOG09370F47	h1tg000034l_1	1801688	1812907
EOG09370F47	h2tg000010l_1	3527195	3538414
EOG093701IQ	h2tg000031l_1	756326	771378
EOG093701IQ	h2tg000058l_1	1340835	1355033
EOG09370FKI	h2tg000047l_1	2222307	2232902
EOG09370FKI	h1tg000023l_1	3190232	3200827
EOG09370FKI	h1tg000030l_1	809444	820035
EOG09370FLD	h2tg000022l_1	2331079	2342782
EOG09370FLD	h2tg000015l_1	1738300	1749895
EOG09370FLD	h1tg000008l_1	1349637	1361336
EOG09370FN1	h2tg000048l_1	525880	537668
EOG09370FN1	h2tg000054l_1	2020915	2032684
EOG09370FN1	h2tg000034l_1	3138491	3150263
EOG09370FSS	h1tg000005l_1	733408	743503
EOG09370FSS	h2tg000001l_1	2297446	2307541
EOG09370FSS	h2tg000027l_1	1782556	1792651
EOG09370FVX	h1tg000034l_1	967929	981367
EOG09370FVX	h2tg000024l_1	3856652	3868007
EOG09370FWQ	h2tg000020l_1	1921431	1933103
EOG09370FWQ	h1tg000010l_1	1660469	1671921
EOG09370FWQ	h1tg000004l_1	1636985	1648251
EOG09370FXE	h1tg000008l_1	2431117	2441716
EOG09370FXE	h2tg000022l_1	1565073	1575672
EOG09370GC2	h2tg000020l_1	3213679	3223891
EOG09370GC2	h1tg000010l_1	93016	103228
EOG09370GC2	h2tg000037l_1	3306625	3316837
EOG09370GEO	h1tg000004l_1	1270470	1280973
EOG09370GEO	h2tg000020l_1	2175522	2185935
EOG09370GHM	h1tg000024l_1	215664	225975
EOG09370GHM	h1tg000027l_1	1050805	1061116
EOG09370GHM	h2tg000024l_1	234164	244475
EOG09370GHP	h2tg000054l_1	2202088	2212414
EOG09370GIK	h2tg000060l_1	180024	191865
EOG09370GIK	h2tg000052l_1	108184	119752
EOG09370GIK	h2tg000005l_1	337674	349242
EOG09370GJ7	h2tg000034l_1	2218281	2231090
EOG09370GJ7	h1tg000003l_1	936857	948897
EOG09370GJ7	h2tg000024l_1	2340451	2359757
EOG09370H3E	h2tg000006l_1	536337	548609
EOG09370H3E	h2tg000049l_1	553057	564785
EOG09370H68	h2tg000009l_1	1970853	1981008
EOG09370H68	h2tg000017l_1	2840742	2850897
EOG09370H68	h2tg000018l_1	2124797	2134952
EOG09370HBN	h1tg000023l_1	2945420	2956452
EOG09370HBN	h2tg000008l_1	2702326	2713091
EOG09370HBN	h1tg000030l_1	1057160	1067926
EOG09370HD7	h2tg000006l_1	1135830	1158758
EOG09370HKV	h1tg000051l_1	214265	227799
EOG09370HKV	h2tg000083l_1	176295	192040
EOG09370HKV	h1tg000089l_1	176296	192041
EOG093701S0	h1tg000089l_1	54451	67777
